message,created_time,id
2016-02-23T01:21:18+0000,Trump 2016,498653890307516_498695416970030
2016-02-23T01:22:14+0000,Go Trump!,498653890307516_498695520303353
2016-02-23T01:24:34+0000,Love Rudy!,498653890307516_498695910303314
2016-02-23T01:25:10+0000,That's awesome! Rudy would be the best,498653890307516_498696116969960
2016-02-23T01:26:07+0000,TRUMP knows best who to advise him not me,498653890307516_498696366969935
2016-02-23T01:27:32+0000,"🇺🇸🇺🇸🇺🇸
     🇺🇸 
     🇺🇸 RUMP",498653890307516_498696556969916
2016-02-23T01:28:33+0000,Good for Trump - I believe everyone likes Rudy Giuliani and respects his opinion.   Good Team!!!,498653890307516_498696660303239
2016-02-23T01:36:42+0000,"I like that, nice work...",498653890307516_498698066969765
2016-02-23T01:37:01+0000,#Trump!!!,498653890307516_498698150303090
2016-02-23T01:45:43+0000,LOVE both of you !!!! I;m a NEW YORKER,498653890307516_498700170302888
2016-02-23T01:46:53+0000,This is what Ive been saying Smart people surround themselves with with people in the know,498653890307516_498700353636203
2016-02-23T01:53:59+0000,Rudy would be much better as Chief of Staff,498653890307516_498701886969383
2016-02-23T01:54:35+0000,Donald speaks with many advisors...past and present....#TRUMPFORPRESIDENT,498653890307516_498701973636041
